#Delta-depth estimates from Guillevic. PhD. 2013.
#air depth (m)	DeltaDepth (m)	error (m)	label
1515.3	25.069999999999936	0.5	##Holocene
1542.32	21.839999999999918	0.5	#YD
1629.4	26.420000000000073	0.5	#Bølling
1817.8	25.069999999999936	0.5	#DO2
1890.7	22.62000000000012	0.5	#DO3
1910.3	21.86999999999989	0.5	#DO4
1971.9	21.320000000000164	0.5	#DO5
1993	20.420000000000073	0.5	#DO6
2027	19.220000000000027	0.5	#DO7
2086.6	17.769999999999982	0.5	#DO8
2116.2	17.11999999999989	0.5	#DO9
2139.4	15.61999999999989	0.5	#DO10
2172.7	15.86999999999989	0.5	#DO11
2233.8	12.620000000000346	0.5	#DO12
2268.6	12.2199999999998	0.5	#DO13
2355.8	10.870000000000346	0.5	#DO14
2376.8	12.070000000000164	0.5	#DO15
2413.1	11.519999999999982	0.5	#DO16
2430.8	11.070000000000164	0.5	#DO17
2474	8.61999999999989	0.5	#DO18
2542.2	8.069999999999709	0.5	#DO19
2585.51	7.380000000000109	0.5	#DO20
2692.3	6.370000000000346	0.5	#DO21
2750.55	4.670000000000073	0.5	#DO22
2823.87	4.989999999999782	0.5	#
2900.2	4.7199999999998	0.5	#DO23
2944.3	7.019999999999982	0.5	#DO24
3007.4	5.220000000000255	0.5	#DO25
