#depth	age	sigma_age	air_age	sigma_air_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
8.000000000000000000e+00	-3.440510878708330011e+01	7.208872892345311811e+00	nan	nan	1.906321677985745588e-01	2.051837881614736528e-02	9.709469793985882058e-01	2.678358672910991639e-02	nan	nan	nan	nan	3.661119999999999930e-01	1.499999999999999944e-01	9.986000000000000432e-01	2.835357850964739454e-02	7.036914285714290429e+01	2.336646809338105424e-01	3.730006257196391006e-01	3.802819597783880373e-02	nan	0.000000000000000000e+00
9.000000000000000000e+00	-3.172414813702895842e+01	6.937880902518537951e+00	nan	nan	1.744561108343926914e-01	1.846088235136453606e-02	9.710863558848779054e-01	2.639835598713415749e-02	nan	nan	nan	nan	3.322499999999999343e-01	1.499999999999999944e-01	9.983999999999999542e-01	2.830266304183582521e-02	7.036914285714290429e+01	2.336646809338105424e-01	3.254129782062034626e-01	3.256673222619102526e-02	nan	0.000000000000000000e+00
1.000000000000000000e+01	-2.865112995099234183e+01	6.633127076472935535e+00	nan	nan	1.799339305529169819e-01	1.868990278879950270e-02	9.712257134045925167e-01	2.601841939690478431e-02	nan	nan	nan	nan	3.396090000000000497e-01	1.499999999999999944e-01	9.981999999999999762e-01	2.825174757402425935e-02	7.036914285714290429e+01	2.336646809338105424e-01	3.268021327224822081e-01	3.204939732014708970e-02	nan	0.000000000000000000e+00
1.100000000000000000e+01	-2.559117440030690105e+01	6.335936941958442148e+00	nan	nan	2.002027801473369450e-01	2.041989680052362643e-02	9.712677207606755792e-01	2.564145253074425271e-02	nan	nan	nan	nan	3.746009999999999618e-01	1.499999999999999944e-01	9.979000000000000092e-01	2.820083210621269001e-02	7.036914285714290429e+01	2.336646809338105424e-01	3.581284506746400531e-01	3.442820669886306750e-02	nan	0.000000000000000000e+00
1.200000000000000000e+01	-2.279888018822683193e+01	6.070264793118781199e+00	nan	nan	1.729673604269117149e-01	1.730407864867663376e-02	9.714070067868151304e-01	2.527288699788369022e-02	nan	nan	nan	nan	3.207260000000000666e-01	1.499999999999999944e-01	9.977000000000000313e-01	2.814991663840112415e-02	7.036914285714290429e+01	2.336646809338105424e-01	3.075461824613741069e-01	2.894580537580627999e-02	nan	0.000000000000000000e+00
1.300000000000000000e+01	-1.954733600713268515e+01	5.767599269311786792e+00	nan	nan	1.544200572285789330e-01	1.509466590019842465e-02	9.715462737462293719e-01	2.491038356670883039e-02	nan	nan	nan	nan	2.833090000000000330e-01	1.499999999999999944e-01	9.975000000000000533e-01	2.809900117058955482e-02	7.036914285714290429e+01	2.336646809338105424e-01	2.650354488157730670e-01	2.432131416861496934e-02	nan	0.000000000000000000e+00
1.400000000000000000e+01	-1.577425582307359875e+01	5.425474646719882443e+00	nan	nan	1.975936635260608365e-01	1.887177181900216716e-02	9.716855216093315262e-01	2.455422096381967151e-02	nan	nan	nan	nan	3.587650000000000006e-01	1.499999999999999944e-01	9.972999999999999643e-01	2.804808570277798896e-02	7.036914285714290429e+01	2.336646809338105424e-01	3.288181693800357741e-01	2.941641487423793042e-02	nan	0.000000000000000000e+00
1.500000000000000000e+01	-1.273306134806806256e+01	5.156906057575185720e+00	nan	nan	1.778376003544489548e-01	1.660298796392556744e-02	9.718247503465171633e-01	2.420468948104047280e-02	nan	nan	nan	nan	3.196889999999998899e-01	1.499999999999999944e-01	9.970999999999999863e-01	2.799717023496641963e-02	7.036914285714290429e+01	2.336646809338105424e-01	2.926096802903393468e-01	2.552983023069033131e-02	nan	0.000000000000000000e+00
1.600000000000000000e+01	-9.315539415752770225e+00	4.862877799758869912e+00	nan	nan	1.781794590372809406e-01	1.622388025237192846e-02	9.718664612863812113e-01	2.385969741941190367e-02	nan	nan	nan	nan	3.168850000000000833e-01	1.499999999999999944e-01	9.968000000000000194e-01	2.794625476715485377e-02	7.036914285714290429e+01	2.336646809338105424e-01	2.892928339929165538e-01	2.455402107501053824e-02	nan	0.000000000000000000e+00
1.700000000000000000e+01	-5.858834366416893147e+00	4.573927869295793869e+00	nan	nan	1.733001405545644413e-01	1.536480185777257083e-02	9.720056181534322270e-01	2.352437876594114935e-02	nan	nan	nan	nan	3.047900000000001164e-01	1.499999999999999944e-01	9.966000000000000414e-01	2.789533929934328443e-02	7.036914285714290429e+01	2.336646809338105424e-01	2.773548757628611638e-01	2.285805429449881340e-02	nan	0.000000000000000000e+00
1.800000000000000000e+01	-2.253345199336223459e+00	4.281705799562916859e+00	nan	nan	1.878840598819272456e-01	1.620913072735999383e-02	9.720471900819701583e-01	2.319430302899638113e-02	nan	nan	nan	nan	3.267780000000000129e-01	1.499999999999999944e-01	9.962999999999999634e-01	2.784442383153171857e-02	7.036914285714290429e+01	2.336646809338105424e-01	2.964355641662148599e-01	2.370173105411369288e-02	nan	0.000000000000000000e+00
1.900000000000000000e+01	1.120069197862378019e+00	4.016883221880538812e+00	nan	nan	1.622484841244924147e-01	1.358602834699651658e-02	9.721862749141201299e-01	2.287449431870416938e-02	nan	nan	nan	nan	2.788659999999998362e-01	1.499999999999999944e-01	9.960999999999999854e-01	2.779350836372014924e-02	7.036914285714290429e+01	2.336646809338105424e-01	2.526019136887423522e-01	1.953778070347594875e-02	nan	0.000000000000000000e+00
2.000000000000000000e+01	5.078867393002759911e+00	3.716837502647639013e+00	nan	nan	1.701848049672846919e-01	1.378822164852269196e-02	9.723253404489814455e-01	2.256293950949222332e-02	nan	nan	nan	nan	2.888079999999999536e-01	1.499999999999999944e-01	9.959000000000000075e-01	2.774259289590858338e-02	7.036914285714290429e+01	2.336646809338105424e-01	2.618888575632563054e-01	1.952428285245370529e-02	nan	0.000000000000000000e+00
2.100000000000000000e+01	8.897281086905188374e+00	3.438553118932754060e+00	nan	nan	1.715334368918480790e-01	1.343437026672522454e-02	9.723667202526288245e-01	2.225776084290912588e-02	nan	nan	nan	nan	2.874299999999996302e-01	1.499999999999999944e-01	9.956000000000000405e-01	2.769167742809701405e-02	7.036914285714290429e+01	2.336646809338105424e-01	2.612744139016447975e-01	1.875167226643699100e-02	nan	0.000000000000000000e+00
2.200000000000000000e+01	1.272467461184653104e+01	3.170761103366403155e+00	nan	nan	2.044921612444523251e-01	1.550038701474491278e-02	9.724080135253106993e-01	2.196161983381902591e-02	nan	nan	nan	nan	3.386170000000001679e-01	1.499999999999999944e-01	9.952999999999999625e-01	2.764076196028544818e-02	7.036914285714290429e+01	2.336646809338105424e-01	3.085602725717291328e-01	2.134140786502375028e-02	nan	0.000000000000000000e+00
2.300000000000000000e+01	1.596553252160072844e+01	2.952894621344358761e+00	nan	nan	1.869026450658048677e-01	1.370681864045439173e-02	9.725469537925881536e-01	2.167706890563244129e-02	nan	nan	nan	nan	3.059139999999995752e-01	1.499999999999999944e-01	9.950999999999999845e-01	2.758984649247387885e-02	7.036914285714290429e+01	2.336646809338105424e-01	2.779926317605369568e-01	1.851757441697366585e-02	nan	0.000000000000000000e+00
2.400000000000000000e+01	1.956275016606477379e+01	2.720789019475859938e+00	nan	nan	1.648057710078304483e-01	1.162275092252346674e-02	9.725881074202906706e-01	2.140010609261302002e-02	nan	nan	nan	nan	2.661780000000000257e-01	1.500000000000000222e-01	9.948000000000000176e-01	2.753893102466231299e-02	7.036914285714290429e+01	2.336646809338105424e-01	2.417385545233154132e-01	1.539888027431661824e-02	nan	0.000000000000000000e+00
2.500000000000000000e+01	2.369945066868795180e+01	2.466683525183946735e+00	nan	nan	1.597280870275046005e-01	1.076821904635454248e-02	9.727269751572108492e-01	2.113545170781136115e-02	nan	nan	nan	nan	2.541929999999998913e-01	1.500000000000000222e-01	9.946000000000000396e-01	2.748801555685074366e-02	7.036914285714290429e+01	2.337366338212852057e-01	2.312706997161616540e-01	1.398797741753925183e-02	nan	0.000000000000000000e+00
2.600000000000000000e+01	2.802338794750147599e+01	2.215975360065338684e+00	nan	nan	1.663827917158197389e-01	1.069048872735531112e-02	9.727679889282664361e-01	2.087922466923023551e-02	nan	nan	nan	nan	2.608110000000003481e-01	1.500000000000000222e-01	9.942999999999999616e-01	2.743710008903917780e-02	7.036914285714290429e+01	2.338243983272671467e-01	2.379820845575416066e-01	1.361241144838794097e-02	nan	0.000000000000000000e+00
2.700000000000000000e+01	3.222538492495970530e+01	1.987243852644755115e+00	nan	nan	1.911032295718209095e-01	1.171336728142315445e-02	9.728089158691030081e-01	2.063397398968637789e-02	nan	nan	nan	nan	2.953320000000001500e-01	1.500000000000000222e-01	9.939999999999999947e-01	2.738618462122760847e-02	7.036914285714290429e+01	2.339110165738794156e-01	2.701950965251609382e-01	1.462083478165006854e-02	nan	0.000000000000000000e+00
2.800000000000000000e+01	3.592641433985465227e+01	1.798249055755553716e+00	nan	nan	1.690030821199978994e-01	9.853078925164668322e-03	9.728497559151488838e-01	2.040009930318054457e-02	nan	nan	nan	nan	2.574259999999997106e-01	1.500000000000000222e-01	9.937000000000000277e-01	2.733526915341604260e-02	7.036914285714290429e+01	2.339884271916308767e-01	2.371020272864436951e-01	1.208716966212017470e-02	nan	0.000000000000000000e+00
